district,current_votes,total_votes,percent
Delaware at large,488270,488270,99
Florida’s 1st district,438562,438562,99
Florida’s 2nd district,311999,311999,99
Florida’s 3rd district,390401,390401,99
Florida’s 4th district,504940,504940,99
Florida’s 5th district,336973,336973,99
Florida’s 6th district,437856,437856,99
Florida’s 7th district,406449,406449,99
Florida’s 8th district,459788,459788,99
Florida’s 9th district,429638,429638,99
Florida’s 10th district,376397,376397,99
Florida’s 11th district,475073,475073,99
Florida’s 12th district,453135,453135,99
Florida’s 13th district,406125,406125,99
Florida’s 14th district,372136,372136,99
Florida’s 15th district,390671,390671,99
Florida’s 16th district,484684,484684,99
Florida’s 17th district,412397,412397,99
Florida’s 18th district,449720,449720,99
Florida’s 19th district,444589,444589,99
Florida’s 20th district,322409,322409,99
Florida’s 21st district,403287,403081,99
Florida’s 22nd district,402317,402317,99
Florida’s 23rd district,380196,380196,99
Florida’s 24th district,289638,289638,99
Florida’s 25th district,0,0,0
Florida’s 26th district,342630,342630,99
Florida’s 27th district,342975,342975,99
Georgia’s 1st district,324962,345000,94
Georgia’s 2nd district,273013,318000,86
Georgia’s 3rd district,369206,400000,92
Georgia’s 4th district,348209,383000,91
Georgia’s 5th district,354500,392000,90
Georgia’s 6th district,397104,428000,93
Georgia’s 7th district,371464,381000,97
Georgia’s 8th district,307985,340000,91
Georgia’s 9th district,372547,381000,98
Georgia’s 10th district,378514,404000,94
Georgia’s 11th district,405882,422000,96
Georgia’s 12th district,310100,343000,90
Georgia’s 13th district,359989,386000,93
Georgia’s 14th district,305068,307000,99
Hawaii’s 1st district,254433,260000,98
Hawaii’s 2nd district,271983,273000,99
Idaho’s 1st district,442705,403000,99
Idaho’s 2nd district,366665,371000,99
Illinois’s 1st district,315134,366000,86
Illinois’s 2nd district,289251,340000,85
Illinois’s 3rd district,295582,320000,92
Illinois’s 4th district,216807,236000,92
Illinois’s 5th district,351726,366000,96
Illinois’s 6th district,402072,400000,99
Illinois’s 7th district,303696,348000,87
Illinois’s 8th district,250877,255000,98
Illinois’s 9th district,356337,381000,94
Illinois’s 10th district,309507,323000,96
Illinois’s 11th district,305723,314000,97
Illinois’s 12th district,318318,357000,90
Illinois’s 13th district,330492,362000,91
Illinois’s 14th district,396750,388000,99
Illinois’s 15th district,322360,359000,90
Illinois’s 16th district,330080,350000,94
Illinois’s 17th district,296646,325000,91
Illinois’s 18th district,366044,389000,94
Indiana’s 1st district,326940,337000,97
Indiana’s 2nd district,298563,309000,97
Indiana’s 3rd district,325751,327000,99
Indiana’s 4th district,338515,339000,99
Indiana’s 5th district,416226,411000,99
Indiana’s 6th district,328214,338000,97
Indiana’s 7th district,282568,297000,95
Indiana’s 8th district,320617,337000,95
Indiana’s 9th district,359066,364000,99
Iowa’s 1st district,413435,454000,91
Iowa’s 2nd district,393672,441000,89
Iowa’s 3rd district,447563,468000,96
Iowa’s 4th district,382130,441000,87
Kansas’s 1st district,285836,294000,97
Kansas’s 2nd district,329253,334000,99
Kansas’s 3rd district,397886,387000,99
Kansas’s 4th district,308355,305000,99
Kentucky’s 1st district,328498,376000,87
Kentucky’s 2nd district,360388,393000,92
Kentucky’s 3rd district,367999,412000,89
Kentucky’s 4th district,382480,408000,95
Kentucky’s 5th district,298470,337000,89
Kentucky’s 6th district,378392,407000,95
Louisiana’s 1st district,374369,396000,95
Louisiana’s 2nd district,316982,368000,86
Louisiana’s 3rd district,340120,381000,89
Louisiana’s 4th district,306578,360000,85
Louisiana’s 5th district,309556,366000,85
Louisiana’s 6th district,373996,396000,94
Maine’s 1st district,352234,453000,78
Maine’s 2nd district,326472,406000,80
Maryland’s 1st district,393080,411000,96
Maryland’s 2nd district,317716,354000,90
Maryland’s 3rd district,363355,385000,94
Maryland’s 4th district,347837,364000,96
Maryland’s 5th district,394412,408000,97
Maryland’s 6th district,349949,378000,93
Maryland’s 7th district,322498,360000,90
Maryland’s 8th district,381324,409000,93
Massachusetts’s 1st district,262861,340000,77
Massachusetts’s 2nd district,374233,394000,95
Massachusetts’s 3rd district,253302,349000,73
Massachusetts’s 4th district,363910,428000,85
Massachusetts’s 5th district,373670,419000,89
Massachusetts’s 6th district,405015,450000,92
Massachusetts’s 7th district,150204,302000,50
Massachusetts’s 8th district,311197,383000,81
Massachusetts’s 9th district,419109,439000,95
Michigan’s 1st district,417666,430000,97
Michigan’s 2nd district,402548,409000,99
Michigan’s 3rd district,403426,416000,97
Michigan’s 4th district,374052,388000,96
Michigan’s 5th district,362930,387000,94
Michigan’s 6th district,378437,395000,96
Michigan’s 7th district,387270,402000,96
Michigan’s 8th district,428344,443000,98
Michigan’s 9th district,401085,420000,95
Michigan’s 10th district,410098,423000,97
Michigan’s 11th district,450469,466000,97
Michigan’s 12th district,383868,400000,96
Michigan’s 13th district,285879,314000,91
Michigan’s 14th district,342303,377000,91
Minnesota’s 1st district,368468,399000,92
Minnesota’s 2nd district,423070,443000,96
Minnesota’s 3rd district,438580,457000,96
Minnesota’s 4th district,384257,419000,92
Minnesota’s 5th district,396776,427000,93
Minnesota’s 6th district,413622,427000,97
Minnesota’s 7th district,352058,395000,89
Minnesota’s 8th district,393058,421000,93
Mississippi’s 1st district,333005,342000,97
Mississippi’s 2nd district,290140,321000,90
Mississippi’s 3rd district,339066,357000,95
Mississippi’s 4th district,264630,284000,93
Missouri’s 1st district,311357,352000,88
Missouri’s 2nd district,443762,467000,95
Missouri’s 3rd district,406861,417000,98
Missouri’s 4th district,362526,375000,97
Missouri’s 5th district,349238,362000,97
Missouri’s 6th district,387809,390000,99
Missouri’s 7th district,363839,357000,99
Missouri’s 8th district,329996,350000,94
Montana at large,598549,590000,99
Nebraska’s 1st district,316208,310000,99
Nebraska’s 2nd district,336769,323000,99
Nebraska’s 3rd district,286623,299000,96
Nevada’s 1st district,223213,244000,91
Nevada’s 2nd district,382673,405000,94
Nevada’s 3rd district,417252,404000,99
Nevada’s 4th district,332469,344000,97
New Hampshire’s 1st district,400595,432000,93
New Hampshire’s 2nd district,386329,418000,93
New Jersey’s 1st district,359764,376000,96
New Jersey’s 2nd district,347720,373000,93
New Jersey’s 3rd district,407398,424000,96
New Jersey’s 4th district,409856,407000,99
New Jersey’s 5th district,420929,416000,99
New Jersey’s 6th district,306804,331000,93
New Jersey’s 7th district,422122,431000,98
New Jersey’s 8th district,182960,262000,70
New Jersey’s 9th district,291913,316000,92
New Jersey’s 10th district,249670,313000,80
New Jersey’s 11th district,428541,442000,97
New Jersey’s 12th district,327339,359000,91
New Mexico’s 1st district,319125,328000,97
New Mexico’s 2nd district,262138,272000,97
New Mexico’s 3rd district,301163,319000,94
New York’s 1st district,287591,374000,77
New York’s 2nd district,283444,348000,81
New York’s 3rd district,319610,380000,84
New York’s 4th district,313617,371000,85
New York’s 5th district,182563,270000,68
New York’s 6th district,169455,228000,74
New York’s 7th district,171880,225000,76
New York’s 8th district,212013,281000,75
New York’s 9th district,209692,280000,75
New York’s 10th district,175271,289000,61
New York’s 11th district,235606,276000,85
New York’s 12th district,194520,338000,58
New York’s 13th district,199123,278000,72
New York’s 14th district,153374,215000,71
New York’s 15th district,154669,209000,74
New York’s 16th district,195338,309000,63
New York’s 17th district,251654,350000,72
New York’s 18th district,270310,342000,79
New York’s 19th district,301581,355000,85
New York’s 20th district,295011,358000,82
New York’s 21st district,259824,311000,84
New York’s 22nd district,269154,322000,84
New York’s 23rd district,272849,322000,85
New York’s 24th district,309798,343000,90
New York’s 25th district,345999,363000,95
New York’s 26th district,256102,335000,76
New York’s 27th district,322021,385000,84
North Carolina’s 1st district,348618,348618,99
North Carolina’s 2nd district,495344,495344,99
North Carolina’s 3rd district,362552,362552,99
North Carolina’s 4th district,493725,493725,99
North Carolina’s 5th district,385242,385242,99
North Carolina’s 6th district,407127,407127,99
North Carolina’s 7th district,451501,452000,99
North Carolina’s 8th district,380555,381000,99
North Carolina’s 9th district,401530,402000,99
North Carolina’s 10th district,412165,413000,99
North Carolina’s 11th district,450144,450144,99
North Carolina’s 12th district,341457,341457,99
North Carolina’s 13th district,391865,391865,99
North Dakota at large,355223,355223,99
Ohio’s 1st district,385342,416000,93
Ohio’s 2nd district,376662,405000,93
Ohio’s 3rd district,321523,359000,90
Ohio’s 4th district,341970,370000,92
Ohio’s 5th district,375471,410000,92
Ohio’s 6th district,331609,365000,91
Ohio’s 7th district,347476,375000,93
Ohio’s 8th district,356711,391000,91
Ohio’s 9th district,299512,344000,87
Ohio’s 10th district,364710,401000,91
Ohio’s 11th district,302421,369000,82
Ohio’s 12th district,436721,446000,98
Ohio’s 13th district,328810,365000,90
Ohio’s 14th district,396349,421000,94
Ohio’s 15th district,380587,406000,94
Ohio’s 16th district,396962,421000,94
Oklahoma’s 1st district,335471,335471,99
Oklahoma’s 2nd district,288527,288527,99
Oklahoma’s 3rd district,309178,309178,99
Oklahoma’s 4th district,314358,314358,99
Oklahoma’s 5th district,303849,303849,99
Oregon’s 1st district,458201,437000,99
Oregon’s 2nd district,452130,435000,99
Oregon’s 3rd district,469865,455000,99
Oregon’s 4th district,464657,447000,99
Oregon’s 5th district,451711,426000,99
Pennsylvania’s 1st district,441679,452000,98
Pennsylvania’s 2nd district,273351,330000,83
Pennsylvania’s 3rd district,375650,434000,87
Pennsylvania’s 4th district,444564,444000,99
Pennsylvania’s 5th district,395610,427000,93
Pennsylvania’s 6th district,401909,410000,98
Pennsylvania’s 7th district,372780,386000,97
Pennsylvania’s 8th district,344357,363000,95
Pennsylvania’s 9th district,349324,366000,95
Pennsylvania’s 10th district,391711,405000,97
Pennsylvania’s 11th district,383215,387000,99
Pennsylvania’s 12th district,339760,356000,95
Pennsylvania’s 13th district,363862,371000,98
Pennsylvania’s 14th district,369114,387000,95
Pennsylvania’s 15th district,346790,359000,97
Pennsylvania’s 16th district,352997,375000,94
Pennsylvania’s 17th district,432462,446000,97
Pennsylvania’s 18th district,383016,420000,91
Rhode Island’s 1st district,221561,242000,92
Rhode Island’s 2nd district,263462,268000,98
South Carolina’s 1st district,426669,427111,99
South Carolina’s 2nd district,363996,364215,99
South Carolina’s 3rd district,333256,333564,99
South Carolina’s 4th district,360239,360550,99
South Carolina’s 5th district,365963,366258,99
South Carolina’s 6th district,289381,289653,99
South Carolina’s 7th district,363856,364091,99
South Dakota at large,397732,397732,99
Tennessee’s 1st district,304651,308000,99
Tennessee’s 2nd district,352319,337000,99
Tennessee’s 3rd district,319850,321000,99
Tennessee’s 4th district,334438,321000,99
Tennessee’s 5th district,250001,277000,90
Tennessee’s 6th district,349052,346000,99
Tennessee’s 7th district,349952,339000,99
Tennessee’s 8th district,331251,345000,96
Tennessee’s 9th district,242082,258000,94
Texas’s 1st district,300744,339000,89
Texas’s 2nd district,351609,364000,97
Texas’s 3rd district,418591,418000,99
Texas’s 4th district,340137,361000,94
Texas’s 5th district,279622,301000,93
Texas’s 6th district,339858,360000,94
Texas’s 7th district,314125,337000,93
Texas’s 8th district,382132,381000,99
Texas’s 9th district,227885,247000,92
Texas’s 10th district,413475,413000,99
Texas’s 11th district,290841,321000,92
Texas’s 12th district,366324,365000,99
Texas’s 13th district,273317,309000,89
Texas’s 14th district,307553,340000,90
Texas’s 15th district,227832,238000,97
Texas’s 16th district,226528,249000,91
Texas’s 17th district,306332,325000,94
Texas’s 18th district,246895,266000,93
Texas’s 19th district,263935,295000,89
Texas’s 20th district,266719,280000,95
Texas’s 21st district,446469,471000,95
Texas’s 22nd district,407016,402000,99
Texas’s 23rd district,291164,304000,99
Texas’s 24th district,344021,362000,95
Texas’s 25th district,392665,411000,96
Texas’s 26th district,432215,412000,99
Texas’s 27th district,272411,303000,90
Texas’s 28th district,234038,244000,96
Texas’s 29th district,156473,173000,90
Texas’s 30th district,264464,285000,93
Texas’s 31st district,394303,377000,99
Texas’s 32nd district,343687,365000,94
Texas’s 33rd district,157606,168000,94
Texas’s 34th district,200198,222000,90
Texas’s 35th district,267702,259000,99
Texas’s 36th district,302108,329000,92
Utah’s 1st district,342223,331000,99
Utah’s 2nd district,354224,335000,99
Utah’s 3rd district,358670,343000,99
Utah’s 4th district,373634,330000,99
Vermont at large,354839,354837,99
Virginia’s 1st district,447633,463000,97
Virginia’s 2nd district,358554,382000,94
Virginia’s 3rd district,340625,379000,90
Virginia’s 4th district,396087,425000,93
Virginia’s 5th district,401352,435000,92
Virginia’s 6th district,381449,405000,98
Virginia’s 7th district,457674,467000,98
Virginia’s 8th district,396819,431000,92
Virginia’s 9th district,271851,317000,86
Virginia’s 10th district,474990,481000,99
Virginia’s 11th district,392113,418000,94
Washington’s 1st district,424795,398000,99
Washington’s 2nd district,402164,379000,99
Washington’s 3rd district,415901,360000,99
Washington’s 4th district,303311,277000,99
Washington’s 5th district,401285,371000,99
Washington’s 6th district,415294,380000,99
Washington’s 7th district,464698,474000,98
Washington’s 8th district,409504,373000,99
Washington’s 9th district,347902,332000,99
Washington’s 10th district,288690,337000,86
West Virginia’s 1st district,261343,269000,97
West Virginia’s 2nd district,272994,276000,99
West Virginia’s 3rd district,226426,241000,94
Wisconsin’s 1st district,401441,401441,99
Wisconsin’s 2nd district,456829,456829,99
Wisconsin’s 3rd district,389504,389504,99
Wisconsin’s 4th district,311348,311348,99
Wisconsin’s 5th district,441336,441336,99
Wisconsin’s 6th district,403333,403333,99
Wisconsin’s 7th district,414787,414787,99
Wisconsin’s 8th district,417731,417731,99
Wyoming at large,270367,270367,99
Alabama’s 1st district,300762,340000,88
Alabama’s 2nd district,302207,320000,94
Alabama’s 3rd district,317782,324000,98
Alabama’s 4th district,297398,326000,91
Alabama’s 5th district,251896,252000,99
Alabama’s 6th district,281267,282000,99
Alabama’s 7th district,224995,225000,99
Alaska at large,344908,367000,99
Arizona’s 1st district,363127,354000,99
Arizona’s 2nd district,380920,392000,97
Arizona’s 3rd district,269837,255000,99
Arizona’s 4th district,394158,365000,99
Arizona’s 5th district,445585,406000,99
Arizona’s 6th district,417427,420000,99
Arizona’s 7th district,215678,201000,99
Arizona’s 8th district,422449,406000,99
Arizona’s 9th district,352274,347000,99
Arkansas’s 1st district,237381,235000,99
Arkansas’s 2nd district,332503,344000,97
Arkansas’s 3rd district,334262,328000,99
Arkansas’s 4th district,277983,304000,93
California’s 10th district,295404,276000,99
California’s 11th district,363987,357000,99
California’s 12th district,362600,381000,95
California’s 13th district,362128,381000,95
California’s 14th district,350284,340000,99
California’s 15th district,340875,325000,99
California’s 16th district,213874,194000,99
California’s 17th district,296766,284000,99
California’s 18th district,343550,382000,90
California’s 19th district,296694,294000,99
California’s 1st district,350117,358000,98
California’s 20th district,306322,293000,99
California’s 22nd district,313030,274000,99
California’s 23rd district,290841,280000,99
California’s 24th district,353783,356000,99
California’s 26th district,343453,334000,99
California’s 27th district,314909,302000,99
California’s 28th district,333390,330000,99
California’s 29th district,209090,208000,99
California’s 2nd district,356831,394000,91
California’s 30th district,343001,346000,99
California’s 31st district,278110,261000,99
California’s 32nd district,257682,251000,99
California’s 33rd district,377627,404000,93
California’s 34th district,203426,196000,99
California’s 35th district,238197,215000,99
California’s 36th district,299766,271000,99
California’s 37th district,294169,315000,93
California’s 38th district,254117,264000,96
California’s 3rd district,288182,299000,96
California’s 40th district,184594,188000,98
California’s 41st district,255741,236000,99
California’s 42nd district,356840,306000,99
California’s 43rd district,275582,267000,99
California’s 44th district,204168,210000,97
California’s 45th district,405977,372000,99
California’s 46th district,222221,206000,99
California’s 47th district,306749,295000,99
California’s 48th district,390474,362000,99
California’s 49th district,383965,362000,99
California’s 4th district,423629,403000,99
California’s 50th district,361085,334000,99
California’s 51st district,236728,235000,99
California’s 52nd district,396241,376000,99
California’s 53rd district,334509,354000,94
California’s 5th district,338448,348000,97
California’s 6th district,301894,278000,99
California’s 7th district,379054,347000,99
California’s 8th district,275506,266000,99
California’s 9th district,288647,272000,99
Colorado’s 1st district,450292,475000,95
Colorado’s 2nd district,515644,557000,93
Colorado’s 3rd district,429018,449000,96
Colorado’s 4th district,475089,475000,99
Colorado’s 5th district,431985,439000,98
Colorado’s 6th district,438562,449000,98
Colorado’s 7th district,423690,442000,96
Connecticut’s 1st district,351036,369000,95
Connecticut’s 2nd district,367245,382000,96
Connecticut’s 3rd district,389280,361000,99
Connecticut’s 4th district,361891,368000,98
Connecticut’s 5th district,349598,362000,97
United States’s 0th district,149272800,155741416,96
California’s 21st district,162866,154000,99
California’s 25th district,335612,315000,99
California’s 39th district,337063,314000,99
