state,total_votes
Delaware,504010
District of Columbia,333682
Florida,11067456
Georgia,4993346
Hawaii,574341
Idaho,868125
Illinois,5949259
Indiana,3035088
Iowa,1688310
Kansas,1334330
Kentucky,2135193
Louisiana,2148062
Maine,786337
Maryland,2934257
Massachusetts,3549034
Michigan,5545632
Minnesota,3268372
Mississippi,1304979
Missouri,3010316
Montana,605738
Nebraska,950346
Nevada,1405376
New Hampshire,804453
New Jersey,4397896
New Mexico,923750
New York,6944402
North Carolina,5524813
North Dakota,361819
Ohio,5903632
Oklahoma,1560699
Oregon,2360909
Pennsylvania,6904840
Rhode Island,513602
South Carolina,2513329
South Dakota,422609
Tennessee,3049514
Texas,11279106
Utah,1487640
Vermont,367428
Virginia,4456507
Washington,4047295
West Virginia,794204
Wisconsin,3297434
Wyoming,276765
Alabama,2309900
Alaska,349473
Arkansas,1217330
California,17205179
Colorado,3256062
Connecticut,1823932
United States,155731956
Arizona,3385845
