state,total_votes
Delaware,490935
Georgia,4946706
Idaho,858856
Illinois,5848452
Iowa,1670616
Kansas,1330054
Kentucky,2134725
Louisiana,2071543
Maine,761847
Massachusetts,3408750
Michigan,5477429
Minnesota,3214967
Mississippi,1301067
Montana,602736
Nebraska,895608
New Hampshire,795603
New Jersey,4285824
New Mexico,917000
North Carolina,5474961
Oklahoma,1556361
Oregon,2311991
Rhode Island,492178
South Carolina,2512810
South Dakota,420219
Tennessee,2941711
Texas,11103792
Virginia,4380160
West Virginia,778447
Wyoming,270866
Alabama,2303212
Alaska,346831
Arizona,3354722
Arkansas,1191593
Colorado,3234808
Georgia,4908712
